PROVINCIA,wikidata_provincia,CODIGO_PROVINCIA,CONCELLO,wikidata_concello,CODIGO_CONCELLO,PRAIA,wikidata_praia,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA,lat,lon,id_uri,provincia_canon,pais,id_concello,id_provincia
Pontevedra Province,Q95086,36,Ponte Caldelas,Q1631751,36043,Ponte Caldelas,Q12397853,Paseo de Manuel Gordo Boullosa - Ponte Caldelas (Santa Eulalia),,,,"42.39131,-8.491745",42.39131,-8.491745,http://www.turismo.gal/recurso?cod_rec=210518000500,42.39131,-8.491745,praia-azul-ponte-caldelas-36043,Pontevedra,España,ponte-caldelas-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Beach Of A Lanzada,Q3398218,O Grove - Sanxenxo,2300.0,Praia aberta,Fina,"42.441258,-8.872075",42.441258,-8.872075,http://www.turismo.gal/ficha-recurso?cod_rec=9739,42.441258,-8.872075,praia-azul-beach-of-a-lanzada-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Lapa,Q28119886,A Lanzada - Noalla (Santo Estevo),250.0,Praia aberta,Fina,"42.434313,-8.8722694",42.434313,-8.8722694,http://www.turismo.gal/ficha-recurso?cod_rec=9743,42.434313,-8.8722694,praia-azul-lapa-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Areas Beach,Q6078573,Areas - Bordóns (San Pedro),350.0,Praia aberta,Fina,"42.39463800,-8.77880500",42.394638,-8.778805,http://www.turismo.gal/recurso?cod_rec=9767,42.394638,-8.778805,praia-azul-areas-beach-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Areas Gordas,Q24023257,,250.0,Praia aberta,Fina,"42.430972,-8.87261",42.430972,-8.87261,http://www.turismo.gal/ficha-recurso?cod_rec=9746,42.430972,-8.87261,praia-azul-areas-gordas-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Portonovo,Q6078596,Baltar - Adina (Santa María),600.0,Praia resgardada,Fina,"42.398722,-8.822555",42.398722,-8.822555,http://www.turismo.gal/ficha-recurso?cod_rec=9778,42.398722,-8.822555,praia-azul-portonovo-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Bascuas,Q6078602,Aios - Noalla (Santo Estevo),210.0,Praia aberta,Fina,"42.404139,-8.858139",42.404139,-8.858139,http://www.turismo.gal/ficha-recurso?cod_rec=9750,42.404139,-8.858139,praia-azul-bascuas-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Canelas,Q28119873,Canelas - Adina (Santa María),400.0,Praia aberta,Fina,"42.389972,-8.831833",42.389972,-8.831833,http://www.turismo.gal/ficha-recurso?cod_rec=9754,42.389972,-8.831833,praia-azul-canelas-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Caneliñas,Q12398075,Portonovo - Adina (Santa María),100.0,Praia resgardada,Fina,"42.39186000,-8.82586000",42.39186,-8.82586,http://www.turismo.gal/recurso?cod_rec=9755,42.39186,-8.82586,praia-azul-canelinas-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Agra,Q28119911,Areas - Dorrón (San Xoán),260.0,Praia resgardada,Fina,"42.394619,-8.7702212",42.394619,-8.7702212,http://www.turismo.gal/ficha-recurso?cod_rec=9771,42.394619,-8.7702212,praia-azul-agra-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,A Lanzada,Q20548158,A Lanzada - Noalla (Santo Estevo),150.0,Praia aberta,Fina,"42.43871,-8.87178",42.43871,-8.87178,http://www.turismo.gal/ficha-recurso?cod_rec=11362,42.43871,-8.87178,praia-azul-a-lanzada-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Foxos,Q28119890,A Lanzada - Noalla (Santo Estevo),350.0,Praia aberta,Fina,"42.427138,-8.873694",42.427138,-8.873694,http://www.turismo.gal/ficha-recurso?cod_rec=9748,42.427138,-8.873694,praia-azul-foxos-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Major,Q28119893,,600.0,Praia aberta,Fina,"42.413694,-8.866583",42.413694,-8.866583,http://www.turismo.gal/ficha-recurso?cod_rec=9749,42.413694,-8.866583,praia-azul-major-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Montalvo Beach,Q6078910,,900.0,Praia aberta,Fina,"42.398944,-8.848194",42.398944,-8.848194,http://www.turismo.gal/ficha-recurso?cod_rec=9751,42.398944,-8.848194,praia-azul-montalvo-beach-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Q6078544,Q6078544,Sanxenxo - Padriñán (San Xenxo),80.0,Praia resgardada,Fina,"42.400663,-8.803876",42.400663,-8.803876,https://www.turismo.gal/recurso?cod_rec=9761,42.400663,-8.803876,praia-azul-q6078544-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Paxariñas,Q12398088,Paxariñas - Adina (Santa María),100.0,Praia resgardada,Fina,"42.391639,-8.844083",42.391639,-8.844083,http://www.turismo.gal/ficha-recurso?cod_rec=9753,42.391639,-8.844083,praia-azul-paxarinas-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Pragueira,Q28119894,,300.0,Praia aberta,Fina,"42.409472,-8.862528",42.409472,-8.862528,http://www.turismo.gal/ficha-recurso?cod_rec=10450,42.409472,-8.862528,praia-azul-pragueira-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Sanxenxo,Q840355,36051,Playa Del Silgar,Q24019722,Sanxenxo - Padriñán (San Xenxo),600.0,Praia aberta,Fina,"42.401472,-8.812917",42.401472,-8.812917,http://www.turismo.gal/ficha-recurso?cod_rec=9757,42.401472,-8.812917,praia-azul-playa-del-silgar-36051,Pontevedra,España,sanxenxo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Areiño,Q24003844,,200.0,Praia resgardada,Fina,"42.260028,-8.697027",42.260028,-8.697027,http://www.turismo.gal/ficha-recurso?cod_rec=17431,42.260028,-8.697027,praia-azul-areino-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,De Argazada,Q28119389,,410.0,Praia resgardada,Fina,"42.215944,-8.776055",42.215944,-8.776055,http://www.turismo.gal/ficha-recurso?cod_rec=30565,42.215944,-8.776055,praia-azul-de-argazada-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Praia Canido,Q24003868,Canido - Oia (San Miguel),300.0,Praia resgardada,Fina,"42.194139,-8.796805",42.194139,-8.796805,http://www.turismo.gal/ficha-recurso?cod_rec=10127,42.194139,-8.796805,praia-azul-praia-canido-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Praia De Carril,Q6078653,A Igrexa - Alcabre (Santa Baia),600.0,Praia resgardada,Fina,"42.223296,-8.7655534",42.223296,-8.7655534,http://www.turismo.gal/ficha-recurso?cod_rec=10502,42.223296,-8.7655534,praia-azul-praia-de-carril-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Q28120018,Q28120018,Breadouro - Coruxo (San Salvador),280.0,Praia resgardada,Fina,"42.199555,-8.786416",42.199555,-8.786416,http://www.turismo.gal/ficha-recurso?cod_rec=10508,42.199555,-8.786416,praia-azul-q28120018-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Beach Of Vao,Q6448405,Fontela - Coruxo (San Salvador),800.0,Praia resgardada,Fina,"42.197222,-8.792166",42.197222,-8.792166,http://www.turismo.gal/ficha-recurso?cod_rec=10126,42.197222,-8.792166,praia-azul-beach-of-vao-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Mende,Q28119361,Vigo,90.0,Praia resgardada,Fina,"42.26317000,-8.68097200",42.26317,-8.680972,https://www.turismo.gal/recurso?cod_rec=268719741,42.26317,-8.680972,praia-azul-mende-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Os Muiños,Q23994789,A Corveira - Saiáns (San Xurxo),150.0,Praia resgardada,Fina,"42.17461,-8.813806",42.17461,-8.813806,http://www.turismo.gal/ficha-recurso?cod_rec=10514,42.17461,-8.813806,praia-azul-os-muinos-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Playa De Rodas,Q23993081,Illas Cíes,1300.0,Praia aberta,Fina,"42.222916,-8.902917",42.222916,-8.902917,http://www.turismo.gal/ficha-recurso?cod_rec=10480,42.222916,-8.902917,praia-azul-playa-de-rodas-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Q66547532,Q66547532,,230.0,Praia resgardada,Fina,"42.22312,-8.76715",42.22312,-8.76715,https://www.turismo.gal/recurso/-/detalle/268730992/santa-baia,42.22312,-8.76715,praia-azul-q66547532-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Q65897252,Q65897252,,,Praia resgardada,Fina,"42.220083,-8.775749",42.220083,-8.775749,http://www.turismo.gal/ficha-recurso?cod_rec=30566,42.220083,-8.775749,praia-azul-q65897252-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vigo,Q8745,36057,Bouzas,Q28119383,Vigo,450.0,Praia resgardada,Fina,"42.22649888193796, -8.754172974181202",42.22649888193796,-8.754172974181202,https://www.turismo.gal/recurso/-/detalle/268730720/o-adro,42.22649888193796,-8.754172974181202,praia-azul-bouzas-36057,Pontevedra,España,vigo-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vilagarcía De Arousa,Q1442637,36060,Bamio,Q28122324,O Campanario - Bamio (San Xens),130.0,Praia resgardada,Fina,"42.632789,-8.7626038",42.632789,-8.7626038,http://www.turismo.gal/ficha-recurso?cod_rec=11353,42.632789,-8.7626038,praia-azul-bamio-36060,Pontevedra,España,vilagarcia-de-arousa-pontevedra-espana,pontevedra
Pontevedra Province,Q95086,36,Vilagarcía De Arousa,Q1442637,36060,Compostela,Q9060660,Vilagarcía (Santa Baia),2000.0,Praia resgardada,Fina,"42.604798,-8.7695076",42.604798,-8.7695076,http://www.turismo.gal/ficha-recurso?cod_rec=10090,42.604798,-8.7695076,praia-azul-compostela-36060,Pontevedra,España,vilagarcia-de-arousa-pontevedra-espana,pontevedra
